FOLD,SHIP_NO,DWG_NO,TRUE_CODE,PRED_CODE
1,814906,WA400EB11,1_G,"1_G, 1_1"
1,815006,SJ58PA401,1_G,"1_G, 1_1"
1,816306,WE32CB721,1_G,"1_G, 1_2"
1,254106,1A000E008,1_G,"1_G, 1_1"
1,245506,WH11CW724,1_G,"1_G, 1_1"
1,249106,WE51PB721,1_G,"1_1, 1_G"
1,254106,WD92PF753,1_G,"1_G, 1_2"
1,251806,WD92PF753,1_G,"1_G, 1_2"
1,816406,WA500TB53,1_G,"1_G, 1_1"
1,409406,WB19CT762,1_G,"1_G, 1_1"
1,242706,WA500FB51,1_G,"1_G, 1_D"
1,408506,WA100TB11,1_G,"1_G, 1_1"
1,252006,WD92PW711,1_G,"1_G, 1_1"
1,408506,WA230BB21,1_G,"1_G, 1_D"
1,409206,WA240KB24,1_G,"1_G, 2_4"
1,408506,1A000E009,1_G,"1_6, 1_2"
1,254306,W1H12F882,1_G,"1_G, 1_5"
1,252306,WH11CT711,1_G,"1_1, 1_G"
1,256306,WA500FB53,1_G,"1_G, 1_D"
1,815906,WH51CD713,1_G,"1_G, 1_3"
1,814906,WA230BB21,1_G,"1_G, 1_1"
1,256306,WE52SK724,1_G,"1_G, 1_3"
1,252006,WA240KB24,1_G,"1_G, 1_1"
1,254206,WA240KB24,1_G,"1_G, 1_1"
1,409306,WA500FB51,1_G,"1_G, 1_6"
1,815906,WD93CF753,1_G,"1_G, 1_1"
1,251906,WA240BB21,1_G,"1_G, 1_1"
1,816306,WH22CH717,1_G,"1_G, 1_1"
1,247306,WA500FB51,1_G,"1_G, 1_D"
1,254106,W1D11T854,1_G,"1_1, 1_G"
1,254106,WH12CE711,1_G,"1_G, 1_1"
1,814306,WA600EB11,1_G,"1_G, 1_6"
1,254306,WA230EB11,1_G,"1_G, 1_1"
1,252106,WA230EB11,1_G,"1_G, 1_1"
1,251806,WA230EB11,1_G,"1_G, 1_1"
1,409406,WA100FB12,1_G,"1_G, 1_D"
1,814906,WE40PB722,1_G,"1_1, 1_G"
1,409306,WF51ST761,1_G,"1_D, 1_G"
1,249006,WE51PB721,1_G,"1_1, 1_G"
1,244806,WA500FB51,1_G,"1_G, 1_D"
1,815906,W2D14F956,1_G,"1_G, 1_D"
1,409406,WA240BB21,1_G,"1_G, 1_D"
1,245606,WE51PK724,1_G,"1_G, 1_3"
1,242006,WE52PT712,1_G,"1_1, 1_G"
1,242506,WE52PT712,1_G,"1_1, 1_G"
1,242406,WE52PT712,1_G,"1_1, 1_G"
1,814806,WA280BB21,1_G,"1_G, 1_1"
1,254206,WH11CH716,1_G,"1_G, 1_1"
1,409406,WA4I1TB57,1_G,"1_G, 1_5"
1,816406,WA500TB53,1_G,"1_G, 1_1"
1,815906,WD93CT753,1_G,"1_G, 1_D"
1,409206,WH71CW726,1_G,"1_G, 1_8"
1,409306,WA280BB26,1_G,"1_G, 1_D"
1,816406,WA600FB63,1_G,"1_G, 1_1"
1,251906,WH41CY711,1_G,"1_G, 2_4"
1,254406,WA240BB21,1_G,"1_G, 1_1"
1,409306,WH31CK724,1_G,"1_G, 1_1"
1,409406,WA600FB63,1_G,"1_G, 1_7"
1,409206,WA600FB63,1_G,"1_G, 1_7"
1,409206,WA800YB11,1_G,"1_G, 1_3"
1,409306,WA800WB17,1_G,"1_G, 1_9"
1,815906,WD93CF753,1_G,"1_G, 1_1"
1,254106,WA240BB21,1_G,"1_G, 1_1"
1,245506,WA240BB21,1_G,"1_G, 1_1"
1,814106,WM1-DBM29,1_G,"1_1, 1_3"
